1	7889	1000	20.1260631084	17.4470889568	20.104	16.6379868984
2	7889	1000	18.4555449486	11.1160879135	18.432	10.7250761986
4	7889	1000	12.0826218128	7.70725297928	11.049	7.29183888435
1	7889	10000	200.701442003	171.096365929	200.681	170.609041929
2	7889	10000	201.290095091	111.829949856	201.265	111.426110983
4	7889	10000	119.59099412	78.2942349911	119.563	76.8540220261
1	7889	50000	1019.79185486	865.578595161	1019.768	865.086598158
2	7889	50000	1037.27535796	558.221277952	1037.254	557.799847841
4	7889	50000	611.719161034	383.378633022	610.690	382.93102479
1	11776	1000	29.3344671726	24.1205499172	29.311	23.5445809364
2	11776	1000	27.8216221333	13.8117439747	27.796	13.3736610413
4	11776	1000	17.9602780342	8.69744110107	17.929	8.23019003868
1	11776	10000	296.386985064	246.276937962	296.363	245.698824883
2	11776	10000	302.669649839	140.910089016	302.643	140.444201946
4	11776	10000	188.282343864	87.5848810673	188.256	86.1031630039
1	7889	1000	20.2457101345	16.9910638332	20.221	16.4674460888
2	7889	1000	18.345252037	11.0036740303	18.322	10.5734860897
4	7889	1000	11.4928770065	7.78885388374	11.463	7.35143208504
1	7889	10000	201.036848068	170.982239962	201.008	170.470273972
2	7889	10000	202.634924889	111.919969082	202.611	111.48183012
4	7889	10000	119.40866518	76.9167349339	119.382	76.4523320198
1	7889	20000	404.185052872	345.711467981	404.164	345.194280148
2	7889	20000	414.00816083	222.173203945	413.981	221.740463018
4	7889	20000	241.276613951	156.906041145	241.249	155.445971012
1	11776	1000	29.2666251659	24.1768698692	29.243	23.5472621918
2	11776	1000	27.4768879414	13.823649168	27.454	13.3735258579
4	11776	1000	17.3165159225	9.73000502586	17.285	8.23219513893
1	11776	10000	296.756209135	246.753502131	296.735	246.147253036
2	11776	10000	306.769421101	140.349761009	306.747	139.862261057
4	11776	10000	187.443832159	86.7364878654	187.416	86.2479510307
1	11776	20000	596.781159163	495.733929873	596.754	495.115764856
2	11776	20000	621.773030996	281.398550034	621.750	280.914607048
4	11776	20000	380.563021898	172.955229998	380.534	172.422327042
1	16767	1000	41.62108922	32.8998498917	41.600	32.1826119423
2	16767	1000	36.5576989651	19.9227349758	36.535	19.3285219669
4	16767	1000	21.530711174	13.0335719585	21.501	12.471996069
1	16767	10000	421.138306856	341.706693172	421.117	340.991158962
2	16767	10000	399.829626083	207.947129965	399.802	207.393113136
4	16767	10000	233.512415886	133.047322035	232.480	132.497461796
1	16767	20000	845.074346066	687.226856947	845.053	686.483200788
2	16767	20000	811.640460968	415.970061064	811.614	415.399852037
4	16767	20000	470.415315866	266.038406849	470.386	265.455887079
1	23000	1000	57.4961299896	44.2979938984	57.474	43.4117679596
2	23000	1000	51.7839400768	24.47687006	51.751	23.792840004
4	23000	1000	32.3071918488	14.7995381355	32.282	14.1506149769
1	23000	10000	580.507308006	459.275469065	580.483	458.417771101
2	23000	10000	558.781975985	252.913713932	558.756	252.232695103
4	23000	10000	337.643264055	148.753684998	337.615	148.102496147
1	23000	20000	1167.03372884	925.500694036	1167.005	924.665004969
2	23000	20000	1133.59077597	505.655030012	1133.567	504.983599186
4	23000	20000	679.889214039	296.879838943	679.857	296.227622986
1	30613	1000	77.376046896	58.0105409622	77.352	56.8910989761
2	30613	1000	65.2728278637	33.7176167965	65.246	32.9128258228
4	30613	1000	38.4856870174	20.899075985	38.443	20.1433758736
1	30613	10000	777.722936869	602.495918989	777.698	601.437654018
2	30613	10000	714.370738983	352.09636116	714.347	351.291072845
4	30613	10000	410.863907099	219.040478945	410.829	218.293150902
1	30613	20000	1554.14654207	1215.81027794	1554.124	1214.77623916
2	30613	20000	1443.82149291	709.952470064	1443.792	709.154069901
4	30613	20000	835.772866011	435.128391981	835.743	434.391192913
1	39744	1000	101.031726122	74.2041430473	101.000	72.8900809288
2	39744	1000	87.5512399673	40.171998024	87.526	39.2307529449
4	39744	1000	52.9307091236	24.7427489758	52.901	22.8807809353
1	39744	10000	1008.36455894	772.786383867	1008.340	771.457448959
2	39744	10000	953.253190041	416.257619143	953.228	415.291410923
4	39744	10000	557.075015068	239.694250822	557.046	238.847376108
1	39744	20000	2023.54362202	1556.50498819	2023.518	1555.20750904
2	39744	20000	1903.72621799	842.951088905	1903.700	842.001463175
